8-17,16-49
17-38,18-36
17-43,43-43
86-94,7-87
23-97,22-85
8-50,7-50
82-84,1-83
43-95,51-94
7-89,8-90
85-90,21-70
46-69,7-46
93-98,18-99
42-85,53-92
25-65,64-65
13-53,12-53
59-90,60-95
1-79,58-78
99-99,16-96
56-86,86-86
49-50,50-51
79-83,80-83
31-86,8-20
8-85,9-86
34-81,35-35
7-87,8-95
14-50,49-51
2-65,1-1
37-37,35-44
17-72,3-39
6-25,24-26
56-94,37-93
49-76,36-75
26-37,25-53
98-98,10-97
48-87,49-97
31-82,30-90
5-98,4-93
77-97,76-94
96-98,1-97
67-67,68-95
26-51,50-50
43-67,66-67
31-68,30-90
36-64,65-92
2-2,3-11
57-60,22-58
43-55,44-56
8-81,80-84
2-52,2-2
28-83,76-77
20-83,13-82
23-87,22-72
11-92,91-91
52-84,5-51
74-78,67-97
48-66,67-67
86-86,39-87
5-6,7-54
14-15,14-98
48-89,59-74
51-75,52-67
6-35,16-74
65-98,44-96
10-85,84-84
26-96,95-95
21-96,22-22
13-69,12-68
67-67,47-66
64-70,71-71
59-96,16-59
69-69,56-70
12-90,20-97
6-45,5-98
89-89,39-88
2-69,1-3
19-33,27-33
69-97,94-94
2-98,97-99
22-88,22-38
2-80,1-1
64-64,63-63
21-22,21-79
18-88,19-89
44-57,43-56
55-56,3-55
40-76,39-84
71-94,70-94
22-23,22-83
2-12,15-26
37-72,12-45
4-79,3-61
2-33,33-34
33-82,18-32
1-99,2-95
7-79,7-79
62-99,2-99
88-94,18-96
35-38,38-38
26-27,26-56
8-64,2-8
11-11,13-88
69-90,17-44
21-22,22-42
38-38,37-37
16-52,10-15
24-82,24-82
9-85,2-26
28-99,1-97
86-86,25-85
9-66,9-27
73-73,74-90
18-99,19-98
85-93,92-92
23-55,23-97
6-79,80-96
31-62,37-42
42-44,43-49
20-85,73-86
56-96,13-94
2-17,8-16
1-59,5-84
46-55,4-77
65-87,16-87
41-87,41-42
1-94,2-92
24-91,24-24
8-67,6-25
89-99,84-96
23-67,2-24
6-38,1-2
67-92,72-98
3-22,7-80
11-53,5-11
62-62,33-62
30-96,31-96
32-99,31-32
15-15,14-70
2-3,14-75
37-56,38-44
46-82,82-82
58-59,32-58
7-43,6-42
25-26,26-84
6-91,92-94
3-69,2-70
11-80,3-9
56-57,57-82
26-68,25-67
43-47,7-46
39-49,2-38
50-51,32-50
85-85,86-98
8-56,5-57
16-83,17-83
43-93,44-92
65-67,18-66
19-76,19-75
33-55,39-68
43-44,38-43
22-26,21-27
1-4,3-68
50-65,26-64
33-94,98-99
52-99,50-50
26-43,20-42
19-37,37-50
2-99,99-99
4-94,3-93
88-95,3-87
71-98,88-98
11-58,10-11
7-93,5-92
98-98,62-82
22-43,43-44
21-28,25-28
56-56,58-63
9-10,9-85
66-87,66-67
8-79,78-78
25-79,78-80
40-40,40-62
5-98,6-99
3-34,28-99
22-93,21-97
26-42,25-97
39-48,38-42
32-50,32-32
14-91,93-93
8-62,7-89
27-93,26-93
64-66,59-65
7-77,76-78
11-72,63-71
54-81,22-80
3-89,89-89
28-80,81-81
9-91,19-43
17-90,90-90
24-75,76-81
31-52,15-24
38-75,39-76
40-55,42-91
95-95,67-94
12-95,11-95
8-54,54-55
